Principal Component 1:
    Feature: Caffeine Daily, Weight: 0.010060265583992981
    Feature: Caffeine Once a week or less, Weight: 0.009697003672117645
    Feature: Alcohol Daily, Weight: 0.009650153810343457
    Feature: Tobacco Former Smoker, Weight: 0.008882635110155905
    Feature: subs_tob_08to11, Weight: 0.008757538053404068
    Feature: subs_can_02to05, Weight: 0.008418279705937658
    Feature: Caffeine Once a month or less, Weight: 0.00794405787327464
    Feature: Caffeine Never, Weight: 0.007781435400526561
    Feature: wd_tib, Weight: 0.007735851713258191
    Feature: Alcohol A few times a week, Weight: 0.007602096073153383
    Feature: subs_can_17to20, Weight: 0.006949417443922054
    Feature: subs_can_14to17, Weight: 0.006621259674472228
    Feature: subs_caff_23to02, Weight: 0.006559925607546937
    Feature: Cannabis A few times a week, Weight: 0.006453331288743264
    Feature: subs_caff_20to23, Weight: 0.006091303118824007
    Feature: sds_13, Weight: 0.005704321938884061
    Feature: subs_caff_11to14, Weight: 0.005662853732313689
    Feature: subs_tob_05to08, Weight: 0.005558613736342069
    Feature: subs_caff_17to20, Weight: 0.0055360992859734845
    Feature: Cannabis Once a week or less, Weight: 0.005187436820145468
    Feature: subs_can_08to11, Weight: 0.00476141068706007
    Feature: ddnsi_3, Weight: 0.004631311409651363
    Feature: Alcohol Once a month or less, Weight: 0.0036628025904574656
    Feature: Caffeine Multiple times daily, Weight: 0.0036127045897127886
    Feature: subs_caff_05to08, Weight: 0.0034120651505855316
    Feature: Tobacco Daily Smoker, Weight: 0.003302188879617563
    Feature: subs_alc_11to14, Weight: 0.003264442289997734
    Feature: subs_caff_02to05, Weight: 0.003190440032306877
    Feature: sds_23, Weight: 0.003087378926391242
    Feature: subs_alc_14to17, Weight: 0.0030850362495782276
    Feature: sds_22, Weight: 0.0030386950079362234
    Feature: subs_can_11to14, Weight: 0.0029864225795115536
    Feature: sds_18, Weight: 0.0029843563544836612
    Feature: Cannabis Multiple times daily, Weight: 0.0026882645228070677
    Feature: sds_24, Weight: 0.002395559852086661
    Feature: ddnsi_5, Weight: 0.00220432997933853
    Feature: Caffeine A few times a week, Weight: 0.0019468304551597316
    Feature: subs_alc_08to11, Weight: 0.001883391411546386
    Feature: Alcohol Once a week or less, Weight: 0.0017885808554366704
    Feature: sds_16, Weight: 0.001757330972316958
    Feature: Tobacco Never Smoker, Weight: 0.001750092399025548
    Feature: Cannabis Once a month or less, Weight: 0.0017291001427286285
    Feature: Cannabis Daily, Weight: 0.0010187724977116313
    Feature: ddnsi_1, Weight: 0.0010042202542174525
    Feature: subs_can_05to08, Weight: 0.0007744452277121378
    Feature: sds_15, Weight: 0.0006907825639096279
    Feature: sds_19, Weight: 0.0006524038968106804
    Feature: ddnsi_2, Weight: 0.0006176409292995457
    Feature: subs_alc_05to08, Weight: 0.0006024793182712618
    Feature: sds_17, Weight: 0.0005296994954061131
    Feature: Alcohol Multiple times daily, Weight: 0.00045943395635257274
    Feature: subs_caff_08to11, Weight: 0.0003987355932855066
    Feature: ddnsi_4, Weight: 0.0002996083162861103
    Feature: sds_25, Weight: 0.00026493013378130794
    Feature: sds_14, Weight: 0.0002578474472322991
    Feature: ddnsi_total, Weight: 0.00016211836213966593
    Feature: sds_11, Weight: 0.0

Principal Component 2:
    Feature: wd_ema, Weight: 0.29959607195117427
    Feature: income_notsay, Weight: 0.2979745631622356
    Feature: wd_tob, Weight: 0.2844365367010796
    Feature: wd_ttb, Weight: 0.28313161198054043
    Feature: White, Weight: 0.28041703741508317
    Feature: hispanic, Weight: 0.2636114422791033
    Feature: $100,000 - $200,000, Weight: 0.2547922332411453
    Feature: college_educated, Weight: 0.2371943654584958
    Feature: Asian, Weight: 0.2344620616573112
    Feature: sex, Weight: 0.20733330621309698
    Feature: wd_sq, Weight: 0.2003224052277864
    Feature: wd_se, Weight: 0.18957970049752912
    Feature: wd_twt, Weight: 0.18755570485836232
    Feature: psqi_total, Weight: 0.1709170639870742
    Feature: psqi_5b, Weight: 0.10799095414140192
    Feature: wd_waso, Weight: 0.09708988585480485
    Feature: Homosexual, Weight: 0.09582445838778345
    Feature: transgender, Weight: 0.0845583190939366
    Feature: we_tts, Weight: 0.08291818541757828
    Feature: psqi_c2, Weight: 0.07310750197378697
    Feature: wd_tib, Weight: 0.069377759703662
    Feature: wd_tfa, Weight: 0.06635587218022336
    Feature: wd_sol, Weight: 0.06577912071956694
    Feature: psqi_c7, Weight: 0.06413511526056379
